"lat","lon","name","type","address"
-36.850109,174.765123,"McDonald's - Queen Street"," restaurant food establishment","260 Queen Street Auckland"
-36.849649,174.77364,"Copthorne Hotel Auckland City"," bar restaurant lodging food establishment","150 Anzac Ave Auckland"
-36.855447,174.760161,"Amora Hotel Auckland (Formerly Duxton)"," restaurant lodging food establishment","100 Greys Ave Auckland"
-36.852801,174.760639,"Rendezvous Hotel Auckland"," restaurant lodging food establishment","71 Mayoral Dr Auckland"
-36.845576,174.76495,"Stamford Plaza Auckland"," bar restaurant lodging food establishment","22-26 Albert Street Auckland"
-36.840269,174.765776,"Hilton Auckland Hotel"," bar restaurant lodging food establishment","21/147 Quay St Auckland"
-36.850226,174.763297,"BESOS LATINOS RESTAURANTE"," restaurant food establishment","39 Elliott Street Auckland"
-36.843044,174.76459,"Copthorne Hotel Auckland HarbourCity"," bar restaurant lodging food establishment","196-200 Quay St Auckland"
-36.865357,174.766822,"Red Elephant"," restaurant food establishment","195 Khyber Pass Road Newmarket"
-36.848542,174.759443,"Toto Pizza"," restaurant food establishment","53 Nelson Street Auckland"
-36.855812,174.76245,"Le Garde Manger"," bar restaurant food establishment","466 Queen St Auckland"
-36.852335,174.782747,"Cibo Parnell"," restaurant food establishment","Axis Building 91 St Georges Bay Road Parnell"
-36.84426,174.769855,"Ebisu"," restaurant food establishment","116-118 Quay Street Auckland"
-36.849005,174.762562,"Depot"," restaurant food establishment","86 Federal Street Auckland"
-36.840864,174.764918,"Y Not Restaurant & Bar"," restaurant food establishment","Princes Wharf Shed 23 145 Quay Street Auckland"
-36.845327,174.770271,"Mexico - Britomart"," restaurant food establishment","23 Britomart Pl Auckland"
-36.844809,174.768735,"The Britomart Country Club"," bar restaurant food establishment","31 Galway St Auckland"
-36.842979,174.763721,"Degree Gastrobar"," night_club restaurant food establishment","204 Quay St Auckland"
-36.842949,174.766699,"Botswana Butchery"," restaurant food establishment","99 Quay St Auckland"
-36.856011,174.780639,"Non Solo Pizza"," bar restaurant food establishment","259 Parnell Road Auckland"
-36.851693,174.744699,"Thai Me Up"," restaurant food establishment","244 Ponsonby Road Ponsonby"
-36.846379,174.733412,"Gables Speights Ale House"," restaurant food establishment","248 Jervois Road Herne Bay"
-36.857285,174.74801,"Bolliwood Ponsonby"," restaurant food establishment","110 Ponsonby Rd Auckland"
