"lat","lon","name","type","address"
51.967564,5.667686,"Restaurant O Mundo"," restaurant food establishment","5 Mei Plein 1 Wageningen"
51.9682,5.661596,"Hof Van Wageningen Hotel En Congrescentrum"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.96678,5.664924,"Sa Lolla"," restaurant food establishment","Molenstraat 6 Wageningen"
51.965934,5.664306,"Vreemde Streken Eetwinkel"," restaurant food establishment","1e Kloostersteeg 3 Wageningen"
51.966457,5.664699,"Eetcafé H41"," restaurant food establishment","Herenstraat 41 Wageningen"
51.965294,5.662432,"Restaurant 't Carillon"," restaurant food establishment","Hoogstraat 12 Wageningen"
51.966615,5.664821,"Eeterij H'eerlijk"," restaurant food establishment","Heerenstraat 47 Wageningen"
51.967491,5.663852,"Restaurant Toledo"," restaurant food establishment","Schoolstraat 15 Wageningen"
51.964981,5.663426,"Colors World Food"," restaurant food establishment","Markt 15 Wageningen"
51.970822,5.669257,"restaurant alexandros"," restaurant food establishment","Spelstraat 1 Wageningen"
51.964808,5.661947,"Steakhouse"," restaurant food establishment","Markt 2A Wageningen"
51.964802,5.661565,"Thais restaurant My Asia Wageningen"," meal_takeaway restaurant food establishment","Hoogstraat 9 Wageningen"
51.969173,5.665746,"Chinees-Mongools Restaurant King's Garden B.V."," restaurant food establishment","Stadsbrink 1-M Wageningen"
51.966868,5.664868,"Het Oude Pakhuis"," restaurant food establishment","Molenstraat 4 Wageningen"
51.964647,5.66233,"eetcafe De Kater"," cafe restaurant food establishment","Markt 8 Wageningen"
51.965162,5.662874,"Restaurant Drinks and Bites"," restaurant food establishment","Markt 9 Wageningen"
51.96843,5.661953,"EatCetera"," restaurant food establishment","Lawickse Allee 9 Wageningen"
51.966531,5.664746,"Ali Baba"," restaurant food establishment","Herenstraat 43 Wageningen"
51.96864,5.668101,"Zeezicht"," restaurant food establishment","Bevrijdingsstraat 38 Wageningen"
51.964755,5.662131,"Turks Eethuis Ilayda"," restaurant food establishment","Markt 4 Wageningen"
51.967564,5.667686,"Restaurant O Mundo"," restaurant food establishment","5 Mei Plein 1 Wageningen"
51.9682,5.661596,"Hof Van Wageningen Hotel En Congrescentrum"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.96678,5.664924,"Sa Lolla"," restaurant food establishment","Molenstraat 6 Wageningen"
51.965934,5.664306,"Vreemde Streken Eetwinkel"," restaurant food establishment","1e Kloostersteeg 3 Wageningen"
51.966457,5.664699,"Eetcafé H41"," restaurant food establishment","Herenstraat 41 Wageningen"
51.965294,5.662432,"Restaurant 't Carillon"," restaurant food establishment","Hoogstraat 12 Wageningen"
51.966615,5.664821,"Eeterij H'eerlijk"," restaurant food establishment","Heerenstraat 47 Wageningen"
51.967491,5.663852,"Restaurant Toledo"," restaurant food establishment","Schoolstraat 15 Wageningen"
51.964981,5.663426,"Colors World Food"," restaurant food establishment","Markt 15 Wageningen"
51.970822,5.669257,"restaurant alexandros"," restaurant food establishment","Spelstraat 1 Wageningen"
51.964808,5.661947,"Steakhouse"," restaurant food establishment","Markt 2A Wageningen"
51.964802,5.661565,"Thais restaurant My Asia Wageningen"," meal_takeaway restaurant food establishment","Hoogstraat 9 Wageningen"
51.969173,5.665746,"Chinees-Mongools Restaurant King's Garden B.V."," restaurant food establishment","Stadsbrink 1-M Wageningen"
51.966868,5.664868,"Het Oude Pakhuis"," restaurant food establishment","Molenstraat 4 Wageningen"
51.964647,5.66233,"eetcafe De Kater"," cafe restaurant food establishment","Markt 8 Wageningen"
51.965162,5.662874,"Restaurant Drinks and Bites"," restaurant food establishment","Markt 9 Wageningen"
51.96843,5.661953,"EatCetera"," restaurant food establishment","Lawickse Allee 9 Wageningen"
51.966531,5.664746,"Ali Baba"," restaurant food establishment","Herenstraat 43 Wageningen"
51.96864,5.668101,"Zeezicht"," restaurant food establishment","Bevrijdingsstraat 38 Wageningen"
51.964755,5.662131,"Turks Eethuis Ilayda"," restaurant food establishment","Markt 4 Wageningen"
51.967564,5.667686,"Restaurant O Mundo"," restaurant food establishment","5 Mei Plein 1 Wageningen"
51.9682,5.661596,"Hof Van Wageningen Hotel En Congrescentrum"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.96678,5.664924,"Sa Lolla"," restaurant food establishment","Molenstraat 6 Wageningen"
51.965934,5.664306,"Vreemde Streken Eetwinkel"," restaurant food establishment","1e Kloostersteeg 3 Wageningen"
51.966457,5.664699,"Eetcafé H41"," restaurant food establishment","Herenstraat 41 Wageningen"
51.965294,5.662432,"Restaurant 't Carillon"," restaurant food establishment","Hoogstraat 12 Wageningen"
51.966615,5.664821,"Eeterij H'eerlijk"," restaurant food establishment","Heerenstraat 47 Wageningen"
51.967491,5.663852,"Restaurant Toledo"," restaurant food establishment","Schoolstraat 15 Wageningen"
51.964981,5.663426,"Colors World Food"," restaurant food establishment","Markt 15 Wageningen"
51.970822,5.669257,"restaurant alexandros"," restaurant food establishment","Spelstraat 1 Wageningen"
51.964808,5.661947,"Steakhouse"," restaurant food establishment","Markt 2A Wageningen"
