"lat","lon","name","type","address"
52.039994,5.672007,"Restaurant Pomphuis & hapjesenzocatering"," restaurant food establishment","Klinkenbergerweg 41 Ede"
52.041481,5.669239,"V.O.F. Het Oude Politiebureau"," restaurant food establishment","Breelaan 2a Ede gld"
52.047187,5.669916,"Bernardo's IJssalon"," store food establishment","Molenstraat 118 Ede"
52.042825,5.668066,"Villa Brutus"," restaurant food establishment","Museumplein 3 Ede"
52.046416,5.670292,"Delifrance Ede"," meal_takeaway restaurant food establishment","Torenstraat 16 Ede gld"
52.046574,5.670506,"Eetcafe de Buurvrouw"," restaurant food establishment","Brouwerstraat 13b Ede gld"
52.048958,5.667385,"Restaurant Buitenzorg"," restaurant food establishment","Amsterdamseweg 19 EDE GLD"
52.042825,5.668066,"De Plantage"," restaurant food establishment","Museumplein 3 Ede"
52.045176,5.67264,"Wok Restaurant Oriental"," restaurant food establishment","Achterdoelen 15 Ede gld"
52.047241,5.67037,"Pizzeria Ristorante Sole d'Italia,Cafetaria Veenderweg,Tapasia,Grand Café de Verleiding,Grieks Restaurant Kreta,Albert Heijn,Trattoria da Aldo,Banketbakkerij Onnink,Eetkamer De Heksenketel,Grand Cafe Mr.Bojangels,Resy's,Restaurant Pomphuis & hapjesenzocatering,V.O.F. Het Oude Politiebureau,Bernardo's IJssalon,Villa Brutus,Delifrance Ede,Eetcafe de Buurvrouw,Restaurant Buitenzorg,De Plantage,Wok Restaurant Oriental,Pizzeria Ristorante Sole d'Italia"," store restaurant food establishment","Molenstraat 110 Ede"
52.042621,5.660618,"Cafetaria Veenderweg"," restaurant food establishment","Veenderweg 99-101 Ede gld"
52.041954,5.669038,"Tapasia"," restaurant food establishment","Maandereind 109 Ede"
52.045709,5.667778,"Grand Café de Verleiding"," cafe restaurant food establishment","Brouwerstraat 44 Ede"
52.042187,5.668568,"Grieks Restaurant Kreta"," restaurant food establishment","Nieuwe Stationsstraat 30 Ede gld"
52.044098,5.671753,"Albert Heijn"," grocery_or_supermarket food store establishment","Achterdoelen 41 Ede gld"
52.041344,5.668466,"Trattoria da Aldo"," restaurant food establishment","Stationsweg 6 Ede"
52.039993,5.666923,"Banketbakkerij Onnink"," bakery store food establishment","Maanderweg 21 Ede gld"
52.043251,5.668943,"Eetkamer De Heksenketel"," restaurant food establishment","Nieuwe Stationsstraat 17 Ede"
52.046069,5.669379,"Grand Cafe Mr.Bojangels"," cafe food establishment","Marktstraat 69 Ede gld"
52.048356,5.669366,"Resy's"," restaurant food establishment","Notaris Fischerstraat 31 Ede gld"
52.039994,5.672007,"Barnies Luxe"," restaurant food establishment","Klinkenbergerweg 41 Ede"
52.041481,5.669239,"Hoogvliet"," restaurant food establishment","Breelaan 2a Ede gld"
52.047187,5.669916,"Nok's Kitchen"," store food establishment","Molenstraat 118 Ede"
52.042825,5.668066,"Shoarma Pizzeria De Lantaarn"," restaurant food establishment","Museumplein 3 Ede"
52.046416,5.670292,"pizzeria venezia"," meal_takeaway restaurant food establishment","Torenstraat 16 Ede gld"
52.046574,5.670506,"American Restaurant Dixie's"," restaurant food establishment","Brouwerstraat 13b Ede gld"
52.048958,5.667385,"Japans Restaurant EDO"," restaurant food establishment","Amsterdamseweg 19 EDE GLD"
52.042825,5.668066,"Pizzeria di Mario"," restaurant food establishment","Museumplein 3 Ede"
52.045176,5.67264,"Grieks Specialiteiten Restaurant Rhodos"," restaurant food establishment","Achterdoelen 15 Ede gld"
52.047241,5.67037,"Grieks Restaurant Akropolis"," store restaurant food establishment","Molenstraat 110 Ede"
52.042621,5.660618,"Balkan Restaurant Yoegoslavie"," restaurant food establishment","Veenderweg 99-101 Ede gld"
52.041954,5.669038,"Café De Kink"," restaurant food establishment","Maandereind 109 Ede"
52.045709,5.667778,"Stadscafé Oscar V.O.F."," cafe restaurant food establishment","Brouwerstraat 44 Ede"
52.042187,5.668568,"Mixor"," restaurant food establishment","Nieuwe Stationsstraat 30 Ede gld"
52.044098,5.671753,"Anders & Co."," grocery_or_supermarket food store establishment","Achterdoelen 41 Ede gld"
52.041344,5.668466,"Boni Ede"," restaurant food establishment","Stationsweg 6 Ede"
52.039993,5.666923,"Legends Eetcafé"," bakery store food establishment","Maanderweg 21 Ede gld"
52.043251,5.668943,"Restaurant & lounge Cha House"," restaurant food establishment","Nieuwe Stationsstraat 17 Ede"
52.046069,5.669379,"China Town Afhaal- en Cateringservice"," cafe food establishment","Marktstraat 69 Ede gld"
52.048356,5.669366,"Jakarta Baru"," restaurant food establishment","Notaris Fischerstraat 31 Ede gld"
52.041963,5.66914,"Barnies Luxe"," restaurant food establishment","Maanderpoort 9 Ede gld"
52.04168,5.667279,"Hoogvliet"," grocery_or_supermarket food store establishment","De Halte 269 Ede"
52.045709,5.668453,"Nok's Kitchen"," restaurant food establishment","Brouwerstraat 63 Ede gld"
