"lat","lon","name","type","address"
52.044098,5.671753,"Albert Heijn"," grocery_or_supermarket food store establishment","Achterdoelen 41 Ede gld"
52.04168,5.667279,"Hoogvliet"," grocery_or_supermarket food store establishment","De Halte 269 Ede"
52.046235,5.669235,"Boni Ede"," grocery_or_supermarket food store establishment","Brouwerstraat 21 Ede"
52.045672,5.667676,"De Goudreinet Ede"," grocery_or_supermarket food store establishment","Brouwerstraat 116 Ede gld"
52.03292,5.652655,"Meat Combinatie Veluwe B.V."," grocery_or_supermarket food store establishment","Hoorn 14 Ede"
52.045037,5.667481,"Asian Toko"," grocery_or_supermarket food store establishment","Telefoonweg 66 Ede gld"
52.043964,5.670063,"C'est Bon"," grocery_or_supermarket food store establishment","Grotestraat 4-B Ede gld"
52.038349,5.656426,"V.O.F. E. van Heusden"," grocery_or_supermarket food store establishment","Rozenplein 41 Ede gld"
52.037717,5.657848,"V.O.F. F. van Heusden"," grocery_or_supermarket food store establishment","Kamperfoelielaan 38 Ede gld"
52.043177,5.669358,"Wibra Supermarkt B.V."," grocery_or_supermarket food store establishment","Maandereind 22 Ede"
52.038453,5.655534,"AH Rozenplein"," grocery_or_supermarket food store establishment","Rozenplein 8 Ede Gld"
52.0446,5.671226,"AH Achterdoelen"," grocery_or_supermarket food store establishment","Achterdoelen 41 Ede Gld"
