"lat","lon","name","type","address"
51.989532,5.905244,"Stadsvilla Sonsbeek"," park restaurant food establishment","Tellegenlaan 3 Arnhem"
51.983172,5.902288,"Best Western Hotel Haarhuis"," restaurant lodging food establishment","Stationsplein 1 Arnhem"
51.980093,5.910306,"Urban Chef"," store restaurant food establishment","Koningstraat 50 Arnhem"
51.983662,5.884622,"Hotel NH Arnhem Rijnhotel"," restaurant lodging food establishment","Onderlangs 10 Arnhem"
51.979742,5.91039,"Dudok"," cafe restaurant food establishment","Koningstraat 40 Arnhem"
51.977917,5.905575,"Rose's Lounge"," restaurant food establishment","Rijnkade 49 Arnhem"
51.98258,5.903537,"Eetcafé Twins"," restaurant food establishment","Nieuwe Plein 26 Arnhem"
51.978281,5.904649,"Restaurant Smaak"," restaurant food establishment","Rijnkade 39 Arnhem"
51.976474,5.909139,"Humphrey's Restaurant Arnhem"," restaurant food establishment","Rijnkade 150 Arnhem"
51.980055,5.908165,"La Rusticana"," restaurant food establishment","Bakkerstraat 58 Arnhem"
51.979876,5.909161,"B&B Bordeaux Arnhem"," restaurant lodging food establishment","Pastoorstraat 9 Arnhem"
51.983492,5.913186,"Bistro Piaf"," restaurant food establishment","Velperplein 30 Arnhem"
51.982293,5.903487,"´t Nieuwe Plein"," restaurant food establishment","Nieuwe Plein 22-A Arnhem"
51.981984,5.904519,"Bistro De Bok"," restaurant food establishment","Duizelsteeg 16 Arnhem"
51.98231,5.905347,"Pssst Amigo"," restaurant food establishment","Pauwstraat 14 Arnhem"
51.97842,5.909905,"Trattoria Da Giulio"," restaurant food establishment","Markt 37 Arnhem"
51.982975,5.904363,"Indonesisch Specialiteiten Restaurant Batavia"," restaurant food establishment","Willemsplein 31 Arnhem"
51.982769,5.90803,"Restaurant Donatello's"," restaurant food establishment","Jansplein 50 Arnhem"
51.98197,5.904642,"2B Bowling & Barbeque"," bowling_alley restaurant food establishment","Luthersestraat 12 Arnhem"
51.982335,5.904637,"5th Avenue"," night_club restaurant food establishment","Korenmarkt 26 Arnhem"
51.978515,5.905283,"Silk Road"," restaurant food establishment","Nieuwstraat 54-A Arnhem"
51.977676,5.906194,"Restaurant CC"," restaurant food establishment","Rijnkade 54A Arnhem"
51.98151,5.908135,"Enig Alternatief"," restaurant food establishment","Wielakkerstraat 4 Arnhem"
51.982117,5.90421,"Eetcafé Mej. Janssen"," restaurant food establishment","Duizelsteeg 6 Arnhem"
51.991358,5.901447,"Sonsbeek Paviljoen"," restaurant food establishment","Zijpendaalseweg 30 Arnhem"
51.987785,5.909086,"Zwagers"," restaurant food establishment","Apeldoornseweg 88 Arnhem"
51.97855,5.905754,"Café De Kroeg-Eten en Drinken"," cafe restaurant food establishment","Nieuwstraat 27 Arnhem"
51.983052,5.904563,"Ask de Chef"," restaurant food establishment","Willemsplein 32 Arnhem"
51.982285,5.908826,"cafe restaurant verheyden"," restaurant food establishment","Wezenstraat 6 Arnhem"
51.981254,5.903798,"Kohinoor of India"," meal_takeaway restaurant food establishment","Oude Oeverstraat 7 Arnhem"
51.982028,5.904953,"Eetcafé Roderick"," restaurant food establishment","Luthersestraat 7 Arnhem"
51.979876,5.909161,"English Tearoom"," restaurant food establishment","Pastoorstraat 9 Arnhem"
51.982384,5.904959,"Jules"," cafe restaurant food establishment","Korenmarkt 25A Arnhem"
51.982384,5.904998,"Aspen Valley"," night_club cafe bar restaurant food establishment","Korenmarkt 25 Arnhem"
51.978261,5.90983,"Treffen Samen Genieten"," restaurant food establishment","Markt 33 Arnhem"
51.982243,5.907008,"bar Florian"," restaurant food establishment","Jansplein 59 Arnhem"
51.983314,5.901504,"Restaurant Karakter"," restaurant food establishment","Stationsplein 10 Arnhem"
51.981712,5.903443,"Restaurant-lumiere Arnhem"," restaurant food establishment","Hoogstraat 12 Arnhem"
51.9901,5.899212,"Restaurant Trianon"," restaurant food establishment","Zijpendaalseweg 95 Arnhem"
51.980934,5.909093,"Billy's Eerlijke Keuken"," restaurant food establishment","Eiland 3 Arnhem"
51.981039,5.909382,"ZafVino"," restaurant food establishment","Zwanenstraat 22 Arnhem"
51.982914,5.906652,"Indian Restaurant Mantra"," restaurant food establishment","Janslangstraat 15 Arnhem"
51.980953,5.909866,"Brasserie Restaurant de Pan"," restaurant food establishment","Koningstraat 67 Arnhem"
51.979545,5.910101,"Grand Café Arnhems Meisje"," restaurant food establishment","Broerenstraat 41 Arnhem"
51.982397,5.906763,"Brasserie Le Bon Vivant"," restaurant food establishment","Jansplaats 10 Arnhem"
51.982837,5.908004,"Restaurant Spice"," restaurant food establishment","Jansplein 49 Arnhem"
51.9832,5.907671,"Restaurant Sushi Koi Arnhem"," restaurant food establishment","Gele Rijders Plein 2 Arnhem"
51.98313,5.905955,"Subway"," meal_takeaway restaurant meal_delivery food establishment","Willemsplein 39 Arnhem"
51.978584,5.905395,"Lestari Indonesisch restaurant"," restaurant food establishment","Nieuwstraat 50 Arnhem"
51.982384,5.90484,"Pinoccio"," restaurant food establishment","Korenmarkt 25B Arnhem"
51.981343,5.903418,"Grillcorner Cleopatra"," restaurant food establishment","Oude Oeverstraat 133 Arnhem"
51.982501,5.908244,"Thais Restaurant Rung"," restaurant food establishment","Ruiterstraat 43 Arnhem"
51.977453,5.906702,"Cantina"," restaurant food establishment","Rijnkade 59 Arnhem"
51.982442,5.903839,"Dino's Restaurant"," restaurant food establishment","Korenmarkt 1 Arnhem"
51.982491,5.911793,"KFC Arnhem"," restaurant food establishment","Dwingelstraat 4 Arnhem"
51.983028,5.903972,"Grieks Restaurant Delphi"," restaurant food establishment","Willemsplein 28 Arnhem"
51.977303,5.906914,"Salathai"," restaurant food establishment","Rijnkade 65 Arnhem"
51.981738,5.90435,"La Puerta"," restaurant food establishment","Varkensstraat 48A Arnhem"
51.9812,5.90943,"Restaurant Falstaff"," restaurant food establishment","Zwanenstraat 18 Arnhem"
51.977968,5.909667,"Ichiba B.V."," restaurant food establishment","Markt 25 Arnhem"
