"lat","lon","name","type","address"
51.937297,5.594843,"Molen De Zwaluw B.V."," restaurant food establishment","Kesteren"
52.008198,5.722246,"Het Koetshuis"," restaurant food establishment","Panoramaweg 23A Bennekom"
51.967564,5.667686,"Restaurant O Mundo"," restaurant food establishment","5 Mei Plein 1 Wageningen"
51.965352,5.69441,"Hotel de Wageningsche Berg"," restaurant lodging food establishment","Generaal Foulkesweg 96 Wageningen"
51.98427,5.71659,"Nol In 'T Bosch"," restaurant lodging food establishment","Wageningen"
51.943528,5.615795,"De Blauwe Kamer B.V."," restaurant food establishment","Blaauwe Kamer 14 Wageningen"
51.9682,5.661596,"Hof Van Wageningen Hotel En Congrescentrum"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.964493,5.662635,"Brasserie de Stad"," cafe restaurant food establishment","Markt 16 Wageningen"
51.972839,5.73322,"Grandcaf� Oude Post"," cafe restaurant food establishment","Dorpsstraat 9 Renkum"
51.982377,5.675398,"T Gesprek"," restaurant food establishment","Grintweg 247 Wageningen"
51.96678,5.664924,"Sa Lolla"," restaurant food establishment","Molenstraat 6 Wageningen"
51.965934,5.664306,"Vreemde Streken Eetwinkel"," restaurant food establishment","1e Kloostersteeg 3 Wageningen"
51.940165,5.61535,"Restaurant 't Veerhuis Opheusden B.V."," restaurant lodging food establishment","Veerweg 1 Opheusden"
51.966457,5.664699,"Eetcafé H41"," restaurant food establishment","Herenstraat 41 Wageningen"
51.965294,5.662432,"Restaurant 't Carillon"," restaurant food establishment","Hoogstraat 12 Wageningen"
52.00862,5.722309,"De Panorama-Hoeve"," restaurant food establishment","Panoramaweg 23 Bennekom"
51.966615,5.664821,"Eeterij H'eerlijk"," restaurant food establishment","Heerenstraat 47 Wageningen"
51.982756,5.720258,"Restaurant Campman"," restaurant food establishment","Hartenseweg 23 Renkum"
51.978536,5.662974,"Da Martini winkel"," restaurant food establishment","Tarthorst 1203 Wageningen"
51.967491,5.663852,"Restaurant Toledo"," restaurant food establishment","Schoolstraat 15 Wageningen"
51.964981,5.663426,"Colors World Food"," restaurant food establishment","Markt 15 Wageningen"
51.970822,5.669257,"restaurant alexandros"," restaurant food establishment","Spelstraat 1 Wageningen"
52.001408,5.675529,"cafetaria/ijssalon de Molenhoek"," restaurant food establishment","Edeseweg 47 Bennekom"
51.964808,5.661947,"Steakhouse"," restaurant food establishment","Markt 2A Wageningen"
52.006338,5.635127,"Ambachtelijke Bakkerij ten Veen"," meal_takeaway restaurant food establishment","Dijkgraaf 24 Bennekom"
51.977178,5.731166,"Restaurant Montaza"," restaurant food establishment","Kerkstraat 96 Renkum"
52.00015,5.675844,"Bistro Le Steak"," restaurant food establishment","Edeseweg 13 Bennekom"
51.969357,5.654519,"Hotel de Nieuwe Wereld"," restaurant lodging food establishment","Marijkeweg 5 Wageningen"
51.964802,5.661565,"Thais restaurant My Asia Wageningen"," meal_takeaway restaurant food establishment","Hoogstraat 9 Wageningen"
51.969173,5.665746,"Chinees-Mongools Restaurant King's Garden B.V."," restaurant food establishment","Stadsbrink 1-M Wageningen"
51.999487,5.677022,"Rijkskamer"," restaurant food establishment","Kerkhoflaan 12 Bennekom"
51.966868,5.664868,"Het Oude Pakhuis"," restaurant food establishment","Molenstraat 4 Wageningen"
51.99996,5.675547,"Italiaans Restaurant Mare e Monte"," restaurant food establishment","Bakkerstraat 1 Bennekom"
51.964647,5.66233,"eetcafe De Kater"," cafe restaurant food establishment","Markt 8 Wageningen"
51.978017,5.671227,"Cafetaria Lunchroom De Driesprong"," restaurant food establishment","Churchillweg 152 Wageningen"
51.930955,5.711691,"Mona Lisa"," restaurant food establishment","Hoofdstraat 62 Zetten"
51.965162,5.662874,"Restaurant Drinks and Bites"," restaurant food establishment","Markt 9 Wageningen"
51.99964,5.67605,"Grandcafé Het Oude Postkantoor"," restaurant food establishment","Bennekom"
51.96843,5.661953,"EatCetera"," restaurant food establishment","Lawickse Allee 9 Wageningen"
51.931269,5.710265,"Grillroom Moonlight"," restaurant food establishment","Sleënburgsestraat 1 Zetten"
51.933205,5.655808,"V.O.F. E. Reijers"," restaurant lodging food establishment","Tolsestraat 35 Opheusden"
51.980349,5.671838,"Asia Plaza Wageningen B.V."," restaurant food establishment","Hoevestein 217 Wageningen"
51.966531,5.664746,"Ali Baba"," restaurant food establishment","Herenstraat 43 Wageningen"
51.964559,5.662651,"Eetcafe Buurman & Buurman"," restaurant food establishment","Markt 18 Wageningen"
51.96864,5.668101,"Zeezicht"," restaurant food establishment","Bevrijdingsstraat 38 Wageningen"
51.972652,5.732714,"Chinees Restaurant Mijn Vriend"," meal_takeaway restaurant food establishment","Dorpsstraat 15 Renkum"
51.964755,5.662131,"Turks Eethuis Ilayda"," restaurant food establishment","Markt 4 Wageningen"
51.967212,5.665137,"Grand-café Suisse"," restaurant food establishment","Hoogstraat 88 Wageningen"
52.005594,5.681181,"Snackpoint De Korenbloem"," restaurant food establishment","Korenlaan 17 Bennekom"
52.000283,5.675835,"Chinees Specialiteiten Restaurant Golden City"," restaurant food establishment","Edeseweg 19 Bennekom"
51.927926,5.714285,"Gastvrij eten en drinken"," cafe restaurant food establishment","Hoofdstraat 2 Zetten"
51.999092,5.675132,"Restaurant Saray Bennekom"," restaurant food establishment","Brinkstraat 8 Bennekom"
51.971147,5.670131,"United Pizza"," restaurant food establishment","Churchillweg 36A Wageningen"
51.97368,5.726342,"De Heren van Baer"," restaurant food establishment","Molenweg 2 Renkum"
51.971042,5.6697,"Cafetaria Bonnie & Clyde"," restaurant food establishment","Churchillweg 23 Wageningen"
51.96497,5.66413,"Café-Carré Eten & Drinken B.V."," restaurant food establishment","Vijzelstraat 2 Wageningen"
51.96703,5.668272,"Jeruzalem"," restaurant food establishment","Veerstraat 5 Wageningen"
51.998799,5.675528,"China Garden"," restaurant food establishment","Dorpsstraat 24 Bennekom"
51.972402,5.730364,"Mieters eten & drinken"," restaurant food establishment","Dorpsstraat 57 Renkum"
51.973609,5.726228,"Eetcafé de Heren van Baer"," cafe restaurant food establishment","Molenweg 2 Renkum"
