"lat","lon","name","type","address"
51.965477,5.657786,"Hoogvliet"," grocery_or_supermarket food store establishment","De Arc 3 Wageningen"
51.969868,5.668337,"Albert Heijn"," grocery_or_supermarket food store establishment","Stadsbrink 375 Wageningen"
51.998373,5.675389,"Albert Heijn"," grocery_or_supermarket food store establishment","Dorpsstraat 36 Bennekom"
51.968909,5.666023,"Lidl"," grocery_or_supermarket food store establishment","Stadsbrink 4-10 Wageningen"
51.978584,5.662934,"C1000 Vaartjes"," grocery_or_supermarket food store establishment","Tarthorst 1223 Wageningen"
51.971746,5.728692,"Albert Heijn"," grocery_or_supermarket food store establishment","Dorpsstraat 118 Renkum"
51.97379,5.673174,"Aldi Markt"," grocery_or_supermarket food store establishment","Churchillweg 92 Wageningen"
51.934476,5.627853,"C1000 Verboom"," grocery_or_supermarket food store establishment","Swaenenstate 4 Opheusden"
51.98302,5.647724,"Spar Wageningen B.V."," grocery_or_supermarket food store establishment","Brinkmanlaan 9 Wageningen"
51.974653,5.676395,"Gebroeders N.M. & C. Mostert Holding B.V."," grocery_or_supermarket food store establishment","Geertjesweg 56 Wageningen"
51.978721,5.663292,"Centramarkt Tarthorst"," grocery_or_supermarket food store establishment","Tarthorst 1223 Wageningen"
51.965695,5.664162,"Toko Indrani"," grocery_or_supermarket food store establishment","Salverdaplein 2-A Wageningen"
51.964741,5.661382,"J.S. Cuisine De Keuken"," grocery_or_supermarket food store establishment","Hoogstraat 5 Wageningen"
51.966491,5.663552,"Kruidvat"," grocery_or_supermarket food store establishment","Hoogstraat 65 Wageningen"
51.978836,5.662982,"Groentehal De Goudreinet B.V."," grocery_or_supermarket food store establishment","Tarthorst 1207 Wageningen"
51.93587,5.636308,"V.O.F. Van Bruggen"," grocery_or_supermarket food store establishment","Koningsstraat 14a Opheusden"
51.998108,5.67557,"SMAAK Delicatessen"," bakery grocery_or_supermarket store food establishment","Dorpsstraat 461 Bennekom"
51.97779,5.729958,"Tropics Smile"," grocery_or_supermarket food store establishment","Waterweg 24 Renkum"
51.969745,5.668085,"Foladi Groenten & Fruit"," grocery_or_supermarket food store establishment","Stadsbrink 443 Wageningen"
51.967989,5.665554,"Paul en Maartje"," grocery_or_supermarket food store establishment","Stationsstraat 70 Wageningen"
51.963493,5.658865,"Europacking B.V."," grocery_or_supermarket food store establishment","Costerweg 1-T Wageningen"
51.937929,5.645743,"Winkel / F C"," grocery_or_supermarket food store establishment","Lakemondsestraat 4 Opheusden"
51.965722,5.664048,"Möller-Chou V.O.F."," grocery_or_supermarket food store establishment","Salverdaplein 4 Wageningen"
51.99748,5.6757,"Ale Groente en Fruit"," grocery_or_supermarket food store establishment","Dorpsstraat 58 Bennekom"
51.95431,5.694323,"Groente- en Fruithandel G.W. Timmer"," grocery_or_supermarket food store establishment","Hemmensestraat 3 Randwijk"
51.972023,5.730376,"Sahin Market"," grocery_or_supermarket food store establishment","Dorpsstraat 76 Renkum"
51.930251,5.712674,"Albert Heijn"," grocery_or_supermarket food store establishment","Beatrixplein 15 Zetten"
51.957071,5.720569,"Maatschap G.H. van Lonkhijzen H. van Lonkhuijzen- van Wijnen"," grocery_or_supermarket food store establishment","Randwijkse Rijndijk 18 Randwijk"
51.93434,5.627895,"AH Swaenenstate"," grocery_or_supermarket food store establishment","Swaenenstate 4 Opheusden"
51.971822,5.728655,"AH Dorpsstraat"," grocery_or_supermarket food store establishment","Dorpsstraat 118 Renkum"
51.930555,5.713478,"AH Beatrixplein"," grocery_or_supermarket food store establishment","Beatrixstraat 15 Zetten"
51.969924,5.668396,"AH Stadsbrink"," grocery_or_supermarket food store establishment","Stadsbrink 375 Wageningen"
51.997409,5.676213,"PLUS Bennekom"," grocery_or_supermarket food store establishment","Dorpsstraat 55 Bennekom"
51.998373,5.675389,"AH Dorpsstraat"," grocery_or_supermarket food store establishment","Dorpsstraat 36 Bennekom"
51.924764,5.667666,"Vermeer / A F"," grocery_or_supermarket food store establishment","Gesperdensestraat 1 Dodewaard"
