"lat","lon","name","type","address"
51.979911,5.754659,"Pizzeria Steakhouse La Porta"," restaurant food establishment","Utrechtseweg 78-A Heelsum"
51.980066,5.755064,"Kota Radja"," restaurant food establishment","Utrechtseweg 76A Heelsum"
51.977178,5.731166,"Restaurant Montaza"," restaurant food establishment","Kerkstraat 96 Renkum"
51.977269,5.731202,"De Citadel"," restaurant food establishment","Kerkstraat 98 Renkum"
51.978544,5.740128,"Eethuis Renkum"," meal_takeaway restaurant food establishment","Reijmerweg 1 Renkum"
51.978348,5.750667,"Altravolta"," food establishment","Utrechtseweg 90 Heelsum"
51.979841,5.755126,"Skippy's Café"," cafe food establishment","Kerkweg 4 Heelsum"
51.977399,5.731584,"Happy Garden"," restaurant food establishment","Bellevue 3 Renkum"
51.981796,5.747124,"Good Food Catering"," food establishment","Doornenkampseweg 24 Heelsum"
51.980517,5.755697,"Spar Hulshof V.O.F."," grocery_or_supermarket food store establishment","Utrechtseweg 45 Heelsum"
51.97779,5.729958,"Tropics Smile"," grocery_or_supermarket food store establishment","Waterweg 24 Renkum"
51.975849,5.730527,"Brood en Banketbakkerij H.H. Kranen"," bakery store food establishment","Kerkstraat 62 Renkum"
51.98206,5.74805,"Eetcafé Happerij & Tapperij"," restaurant food establishment","Heelsum"
51.978027,5.72919,"Slagerij Reijers"," food store establishment","Waterweg 36 Renkum"
