"lat","lon","name","type","address"
51.937297,5.594843,"Molen De Zwaluw B.V."," restaurant food establishment","Kesteren"
52.008198,5.722246,"Het Koetshuis"," restaurant food establishment","Panoramaweg 23A Bennekom"
51.967564,5.667686,"Restaurant O Mundo"," restaurant food establishment","5 Mei Plein 1 Wageningen"
51.965352,5.69441,"Hotel de Wageningsche Berg"," restaurant lodging food establishment","Generaal Foulkesweg 96 Wageningen"
51.98427,5.71659,"Nol In 'T Bosch"," restaurant lodging food establishment","Wageningen"
51.943528,5.615795,"De Blauwe Kamer B.V."," restaurant food establishment","Blaauwe Kamer 14 Wageningen"
51.9682,5.661596,"Hof Van Wageningen Hotel En Congrescentrum"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.964493,5.662635,"Brasserie de Stad"," cafe restaurant food establishment","Markt 16 Wageningen"
51.972839,5.73322,"Grandcaf� Oude Post"," cafe restaurant food establishment","Dorpsstraat 9 Renkum"
51.982377,5.675398,"T Gesprek"," restaurant food establishment","Grintweg 247 Wageningen"
51.96678,5.664924,"Sa Lolla"," restaurant food establishment","Molenstraat 6 Wageningen"
51.965934,5.664306,"Vreemde Streken Eetwinkel"," restaurant food establishment","1e Kloostersteeg 3 Wageningen"
51.940165,5.61535,"Restaurant 't Veerhuis Opheusden B.V."," restaurant lodging food establishment","Veerweg 1 Opheusden"
51.964447,5.662206,"Café De Tijd"," cafe food establishment","Markt 12 Wageningen"
51.966457,5.664699,"Eetcafé H41"," restaurant food establishment","Herenstraat 41 Wageningen"
51.965294,5.662432,"Restaurant 't Carillon"," restaurant food establishment","Hoogstraat 12 Wageningen"
51.972034,5.66822,"De Bengel"," cafe food establishment","Sportstraat 26 Wageningen"
52.00862,5.722309,"De Panorama-Hoeve"," restaurant food establishment","Panoramaweg 23 Bennekom"
51.965889,5.662076,"Columbus Koffie Thee & Kookwinkel"," cafe food establishment","Junusstraat 27-A Wageningen"
51.96524,5.661999,"De Vlaamsche Reus B.V."," cafe food establishment","Hoogstraat 21 Wageningen"
51.966615,5.664821,"Eeterij H'eerlijk"," restaurant food establishment","Heerenstraat 47 Wageningen"
51.982756,5.720258,"Restaurant Campman"," restaurant food establishment","Hartenseweg 23 Renkum"
51.978536,5.662974,"Da Martini winkel"," restaurant food establishment","Tarthorst 1203 Wageningen"
51.965477,5.657786,"Hoogvliet"," grocery_or_supermarket food store establishment","De Arc 3 Wageningen"
51.967491,5.663852,"Restaurant Toledo"," restaurant food establishment","Schoolstraat 15 Wageningen"
51.964981,5.663426,"Colors World Food"," restaurant food establishment","Markt 15 Wageningen"
51.969868,5.668337,"Albert Heijn"," grocery_or_supermarket food store establishment","Stadsbrink 375 Wageningen"
51.970822,5.669257,"restaurant alexandros"," restaurant food establishment","Spelstraat 1 Wageningen"
52.001408,5.675529,"cafetaria/ijssalon de Molenhoek"," restaurant food establishment","Edeseweg 47 Bennekom"
51.964808,5.661947,"Steakhouse"," restaurant food establishment","Markt 2A Wageningen"
52.006338,5.635127,"Ambachtelijke Bakkerij ten Veen"," meal_takeaway restaurant food establishment","Dijkgraaf 24 Bennekom"
51.998373,5.675389,"Albert Heijn"," grocery_or_supermarket food store establishment","Dorpsstraat 36 Bennekom"
51.977178,5.731166,"Restaurant Montaza"," restaurant food establishment","Kerkstraat 96 Renkum"
52.00015,5.675844,"Bistro Le Steak"," restaurant food establishment","Edeseweg 13 Bennekom"
51.969357,5.654519,"Hotel de Nieuwe Wereld"," restaurant lodging food establishment","Marijkeweg 5 Wageningen"
51.964802,5.661565,"Thais restaurant My Asia Wageningen"," meal_takeaway restaurant food establishment","Hoogstraat 9 Wageningen"
51.969173,5.665746,"Chinees-Mongools Restaurant King's Garden B.V."," restaurant food establishment","Stadsbrink 1-M Wageningen"
51.968909,5.666023,"Lidl"," grocery_or_supermarket food store establishment","Stadsbrink 4-10 Wageningen"
51.978584,5.662934,"C1000 Vaartjes"," grocery_or_supermarket food store establishment","Tarthorst 1223 Wageningen"
51.999487,5.677022,"Rijkskamer"," restaurant food establishment","Kerkhoflaan 12 Bennekom"
51.966868,5.664868,"Het Oude Pakhuis"," restaurant food establishment","Molenstraat 4 Wageningen"
51.99996,5.675547,"Italiaans Restaurant Mare e Monte"," restaurant food establishment","Bakkerstraat 1 Bennekom"
51.964647,5.66233,"eetcafe De Kater"," cafe restaurant food establishment","Markt 8 Wageningen"
51.96607,5.66462,"Café Het Gat van Wageningen"," cafe food establishment","Herenstraat 31 Wageningen"
51.978017,5.671227,"Cafetaria Lunchroom De Driesprong"," restaurant food establishment","Churchillweg 152 Wageningen"
52.000452,5.67909,"Patisserie van Woerekom"," bakery store food establishment","Nassaulaan 27 Bennekom"
51.971746,5.728692,"Albert Heijn"," grocery_or_supermarket food store establishment","Dorpsstraat 118 Renkum"
51.930955,5.711691,"Mona Lisa"," restaurant food establishment","Hoofdstraat 62 Zetten"
51.97379,5.673174,"Aldi Markt"," grocery_or_supermarket food store establishment","Churchillweg 92 Wageningen"
51.965162,5.662874,"Restaurant Drinks and Bites"," restaurant food establishment","Markt 9 Wageningen"
51.965451,5.663634,"Side-Walk"," cafe food establishment","Kapelstraat 9 Wageningen"
51.934476,5.627853,"C1000 Verboom"," grocery_or_supermarket food store establishment","Swaenenstate 4 Opheusden"
51.99964,5.67605,"Grandcafé Het Oude Postkantoor"," restaurant food establishment","Bennekom"
51.932968,5.699237,"De Smidse"," food store health establishment","Molenstraat 15 Hemmen"
51.96843,5.661953,"EatCetera"," restaurant food establishment","Lawickse Allee 9 Wageningen"
51.931269,5.710265,"Grillroom Moonlight"," restaurant food establishment","Sleënburgsestraat 1 Zetten"
51.967234,5.663771,"IJssalon Cicuto"," store food establishment","Schuijlensteeg 5 Wageningen"
51.933205,5.655808,"V.O.F. E. Reijers"," restaurant lodging food establishment","Tolsestraat 35 Opheusden"
51.980349,5.671838,"Asia Plaza Wageningen B.V."," restaurant food establishment","Hoevestein 217 Wageningen"
51.934815,5.619312,"Slachterij-Slagerij Roelofsen"," food store establishment","In 't Land 2c Opheusden"
