"lat","lon","name","type","address"
53.784868,20.488223,"Biedronka"," grocery_or_supermarket food store establishment","Stefana Okrzei 10 Olsztyn"
53.786521,20.486654,"Frydrom. Sklep spożywczy. Żyło F.J."," grocery_or_supermarket food store establishment","Stefana Żeromskiego 8A Olsztyn"
53.771238,20.490971,"Sklep spożywczy PSS Społem"," grocery_or_supermarket food store establishment","Żołnierska 19 Olsztyn"
53.776043,20.470156,"Anna. PHU"," grocery_or_supermarket food store establishment","Grunwaldzka 24B Olsztyn"
53.772147,20.486878,"Ewmar s.c. Lubiejewski-Olszewski"," grocery_or_supermarket food store establishment","Żołnierska 11A Olsztyn"
53.7858,20.488422,"Dej. Sklep spożywczy"," grocery_or_supermarket food store establishment","Stefana Żeromskiego 31 Olsztyn"
53.779569,20.490368,"Żabka"," grocery_or_supermarket food store establishment","Kościuszki 45ab Olsztyn"
53.783171,20.481661,"Sklep spożywczy"," grocery_or_supermarket food store establishment","Aleja Wojska Polskiego 83 Olsztyn"
53.77692,20.482927,"Delikatesy Alma"," liquor_store grocery_or_supermarket food store car_repair establishment","Al. Piłsudskiego 16 Centrum Handlowe Alfa Olsztyn"
53.778422,20.480119,"Biedronka. Dyskont spożywczy Jeronimo Martins Dystrybucja S.A."," grocery_or_supermarket food store establishment","Olsztyn"
53.780835,20.485962,"Sane Chem S.A."," grocery_or_supermarket food store establishment","Dąbrowszczaków 13 Olsztyn"
53.778957,20.481948,"Rasko Sp. z o.o. PPHU"," grocery_or_supermarket food store establishment","Krzysztofa Mrongowiusza 6A Olsztyn"
53.786392,20.482997,"Lewiatan"," grocery_or_supermarket food store establishment","Aleja Wojska Polskiego 67 Olsztyn"
53.778288,20.480964,"Jura s.c. Delikatesy"," grocery_or_supermarket food store establishment","Aleja Marszałka Józefa Piłsudskiego 2 Olsztyn"
53.7754,20.477273,"Sezamek. Sklep spożywczy"," grocery_or_supermarket food store establishment","Stanisława Staszica Olsztyn"
53.780284,20.4817,"Dąbkowscy M.Z. Sklep firmowy piekarni Dąbkowskiego"," grocery_or_supermarket food store establishment","Bogumiła Linki 3 Olsztyn"
53.771277,20.470682,"Sklep spożywczy PSS Społem"," grocery_or_supermarket food store establishment","Aleja Warszawska 38 Olsztyn"
53.786419,20.485757,"Frydom. Sklep spożywczy. Żyło F.J."," grocery_or_supermarket food store establishment","Jagiellońska 10 Olsztyn"
53.769918,20.466368,"Sklep spożywczy PSS Społem"," grocery_or_supermarket food store establishment","Kazimierza Jagiellończyka 22 Olsztyn"
53.786392,20.482997,"Jagoda. Art. spożywcze. Jabłońska J."," grocery_or_supermarket food store establishment","Aleja Wojska Polskiego 67 Olsztyn"
53.783246,20.493436,"Kubuś. Kiosk warzywniczo - owocowy. Daszkiewicz B."," grocery_or_supermarket food store establishment","Wojciecha Kętrzyńskiego 0 Olsztyn"
53.786705,20.485434,"Mystkowska Teresa. Sklep spożywczy"," grocery_or_supermarket food store establishment","Stefana Żeromskiego 7 Olsztyn"
53.779286,20.486924,"Wieczorek Z. Sklep spożywczy"," grocery_or_supermarket food store establishment","Mikołaja Kopernika 8 Olsztyn"
53.781088,20.486267,"Damięccy Anna i Tomasz. Przedsiębiorstwo wielobranżowe s.c."," grocery_or_supermarket food store establishment","Dąbrowszczaków 15 Olsztyn"
53.780586,20.488276,"Mój Sklep"," grocery_or_supermarket food store establishment","Mazurska 15 Olsztyn"
53.771238,20.490971,"Full Service. FHU. Zbutowicz A."," grocery_or_supermarket food store establishment","Żołnierska 19 Olsztyn"
53.775494,20.494186,"Bieniaszewska Zofia. Sklep warzywniczo - spożywczy"," grocery_or_supermarket food store establishment","Józefa Grotha 19 Olsztyn"
53.787151,20.492314,"Sklep spożywczy PSS Społem"," grocery_or_supermarket food store establishment","Stanisława Moniuszki 16 Olsztyn"
53.778324,20.488508,"Beti. Sklep spożywczy"," grocery_or_supermarket food store establishment","Tadeusza Kościuszki 58A Olsztyn"
53.775282,20.474414,"Full Service. FHU. Zbutowicz A."," grocery_or_supermarket food store establishment","Hugona Kołłątaja 13 Olsztyn"
53.7778,20.478318,"Bodega. Gałęska K."," grocery_or_supermarket food store establishment","Plac Jedności Słowiańskiej 1 Olsztyn"
53.770697,20.473553,"An-Bi. Bilko A."," grocery_or_supermarket food store establishment","Księdza Wacława Osińskiego 8A Olsztyn"
53.782661,20.475045,"Włoczewski Przemysław. Art. spożywcze"," grocery_or_supermarket food store establishment","Gietkowska 7 Olsztyn"
53.783088,20.488791,"Sławex sp.j. PH"," grocery_or_supermarket food store establishment","Partyzantów Olsztyn"
53.77881,20.477498,"Perzyna Wiesław. Sklep spożywczo - przemysłowy"," grocery_or_supermarket food store establishment","Wyzwolenia 6 Olsztyn"
53.77786,20.474796,"Wiktoria. FH. Pietrzak S."," grocery_or_supermarket food store establishment","Zamkowa 2 Olsztyn"
53.78547,20.476258,"Zim. Sklep z art. spożywczymi"," grocery_or_supermarket food store establishment","Gietkowska 1 Olsztyn"
53.7813,20.492077,"Piekarnia Dąbkowski"," grocery_or_supermarket food store establishment","Tadeusza Kościuszki Olsztyn"
