"lat","lon","name","type","address"
53.017254,20.889144,"Lidl"," grocery_or_supermarket food store shopping_mall establishment","Makowska Gmina Przasnysz"
53.024145,20.884321,"Stokrotka"," grocery_or_supermarket food store establishment","Orlika 18 Przasnysz"
53.018476,20.885312,"Biedronka"," grocery_or_supermarket food store establishment","Leszno 1 Przasnysz"
53.016541,20.884267,"Polomarket"," grocery_or_supermarket food store establishment","Leszno 6 Przasnysz"
53.025858,20.881669,"Clever s.c. Sklep z art. spożywczymi. Zajkowski K.A."," grocery_or_supermarket food store establishment","Królewiecka 1 Przasnysz"
53.022052,20.888966,"Zagajewski Waldemar. Sklep wielobranżowy"," grocery_or_supermarket food store establishment","Osiedlowa 11 Przasnysz"
53.023772,20.89029,"Purzycki Grzegorz. Sklep spożywczy"," grocery_or_supermarket food store establishment","Orlika 21 Przasnysz"
53.025085,20.882096,"Frączek G. Sklep spożywczo - rolny"," grocery_or_supermarket food store establishment","Orlika 4 Przasnysz"
53.017432,20.889048,"Lidl Polska Sklepy Spożywcze"," grocery_or_supermarket food store establishment","Makowska 26A Przasnysz"
53.020725,20.883842,"Słonik. Sklep spożywczy. Obidziński I."," grocery_or_supermarket food store establishment","Rynek 22 Przasnysz"
53.024584,20.886499,"Słonik. Sklep spożywczy. Obidziński I."," grocery_or_supermarket food store establishment","Orlika 13 Przasnysz"
