"lat","lon","name","type","address"
51.965477,5.657786,"Hoogvliet"," grocery_or_supermarket food store establishment","De Arc 3 Wageningen"
51.969868,5.668337,"Albert Heijn"," grocery_or_supermarket food store establishment","Stadsbrink 375 Wageningen"
51.968909,5.666023,"Lidl"," grocery_or_supermarket food store establishment","Stadsbrink 4-10 Wageningen"
51.978584,5.662934,"C1000 Vaartjes"," grocery_or_supermarket food store establishment","Tarthorst 1223 Wageningen"
51.97379,5.673174,"Aldi Markt"," grocery_or_supermarket food store establishment","Churchillweg 92 Wageningen"
51.98302,5.647724,"Spar Wageningen B.V."," grocery_or_supermarket food store establishment","Brinkmanlaan 9 Wageningen"
51.974653,5.676395,"Gebroeders N.M. & C. Mostert Holding B.V."," grocery_or_supermarket food store establishment","Geertjesweg 56 Wageningen"
51.978721,5.663292,"Centramarkt Tarthorst"," grocery_or_supermarket food store establishment","Tarthorst 1223 Wageningen"
51.965695,5.664162,"Toko Indrani"," grocery_or_supermarket food store establishment","Salverdaplein 2-A Wageningen"
51.964741,5.661382,"J.S. Cuisine De Keuken"," grocery_or_supermarket food store establishment","Hoogstraat 5 Wageningen"
51.966491,5.663552,"Kruidvat"," grocery_or_supermarket food store establishment","Hoogstraat 65 Wageningen"
51.978836,5.662982,"Groentehal De Goudreinet B.V."," grocery_or_supermarket food store establishment","Tarthorst 1207 Wageningen"
51.969745,5.668085,"Foladi Groenten & Fruit"," grocery_or_supermarket food store establishment","Stadsbrink 443 Wageningen"
51.967989,5.665554,"Paul en Maartje"," grocery_or_supermarket food store establishment","Stationsstraat 70 Wageningen"
51.963493,5.658865,"Europacking B.V."," grocery_or_supermarket food store establishment","Costerweg 1-T Wageningen"
51.965722,5.664048,"Möller-Chou V.O.F."," grocery_or_supermarket food store establishment","Salverdaplein 4 Wageningen"
51.95431,5.694323,"Groente- en Fruithandel G.W. Timmer"," grocery_or_supermarket food store establishment","Hemmensestraat 3 Randwijk"
51.969924,5.668396,"AH Stadsbrink"," grocery_or_supermarket food store establishment","Stadsbrink 375 Wageningen"
