"lat","lon","name","type","address"
51.952704,5.885078,"Mantel"," bicycle_store store establishment","De Overmaat 72 Arnhem"
51.980093,5.910306,"Urban Chef"," store restaurant food establishment","Koningstraat 50 Arnhem"
51.984129,5.913061,"Media Markt Arnhem"," electronics_store store establishment","Velperplein 13 Arnhem"
51.971821,5.931607,"Kwik-Fit Arnhem"," store car_repair establishment","Snelliusweg 10 Arnhem"
51.981178,5.910142,"Woods.nl Kinderkleding Arnhem"," clothing_store store establishment","Koningstraat 16A Arnhem"
51.984071,5.941719,"DekaMarkt"," food store establishment","Vrij Nederlandstraat 37 Arnhem"
51.94235,5.830343,"Golfbaan Welderen"," store restaurant food establishment","Grote Molenstraat 173 Elst"
51.979036,5.923812,"Oriental Superstore Arnhem BV"," grocery_or_supermarket food store establishment","Johan de Wittlaan 53 Arnhem"
51.973257,5.934367,"Jumbo"," food store establishment","Doctor C. Lelyweg 9 Arnhem"
51.983108,5.914936,"AH Velperbuitensingel"," grocery_or_supermarket food store establishment","Velperbuitensingel 4 Arnhem"
51.94854,5.883995,"Kwik-Fit Arnhem"," store car_repair establishment","Papenkamp 5 Arnhem"
51.95012,5.875422,"Kwantum"," furniture_store general_contractor home_goods_store store establishment","Heerlenstraat 49 Arnhem"
51.950348,5.874548,"Action"," store establishment","Heerlenstraat 44-45 Arnhem"
51.982815,5.905778,"Smits Schoenen Arnhem"," shoe_store store establishment","Jansstraat 8B Arnhem"
51.981123,5.907954,"DiCapolavori"," shoe_store store establishment","Bakkerstraat 7 Arnhem"
51.981573,5.911939,"Copy Shop Arnhem"," store establishment","Nieuwstad 41 Arnhem"
51.982777,5.912308,"V&D Arnhem"," clothing_store department_store store establishment","Johnny van Doornplein 14 Arnhem"
51.975807,5.940586,"Arnhemse Fijnhouthandel"," store establishment","Driepoortenweg 12 Arnhem"
51.959431,5.896059,"Bruna"," book_store store establishment","Kronenburgpassage 92 Arnhem"
51.979836,5.919368,"Slijterij van Pernis"," liquor_store store establishment","Prinsessestraat 34 Arnhem"
51.951759,5.885958,"Esso"," convenience_store food store gas_station establishment","Burgemeester Matsersingel 30 Arnhem"
51.982866,5.905733,"kpn winkel (ook Hi verkrijgbaar)"," store establishment","Jansstraat 8A Arnhem"
51.98047,5.911873,"Baptist IJzerwaren en Gereedschappen"," store establishment","Beekstraat 70 Arnhem"
51.99078,5.916707,"Bakkerij Tom van Otterloo"," bakery store food establishment","Graaf Lodewijkstraat 2 Arnhem"
51.973949,5.954772,"Autobedrijf Bochane Arnhem"," car_repair car_dealer store establishment","Veldoven 3 Arnhem"
51.983116,5.90591,"Lensen Tabak b.v."," store establishment","Jansstraat 1 Arnhem"
51.979826,5.910443,"Stripboekhandel De Noorman"," book_store store establishment","Koningstraat 43 Arnhem"
51.949448,5.87582,"Leen Bakker"," furniture_store general_contractor home_goods_store store establishment","Venlosingel 23 Arnhem"
51.979906,5.904805,"Wifimedia"," electronics_store store establishment","Vossenstraat 3 Arnhem"
51.959277,5.897488,"AH Kronenburgpassage"," grocery_or_supermarket food store establishment","Kronenburgpassage 86 Arnhem"
51.981073,5.909832,"Bagels & Beans"," bakery store food establishment","Koningstraat 69 Arnhem"
51.981468,5.906447,"Hema"," store establishment","Rijnstraat 38 Arnhem"
51.96074,5.859814,"Lidl"," grocery_or_supermarket food store establishment","Elderveldplein 5 Arnhem"
51.972777,5.933497,"Lidl"," grocery_or_supermarket food store establishment","Doctor C. Lelyweg 9-11 Arnhem"
51.989048,5.922453,"Albert Heijn"," grocery_or_supermarket food store establishment","Klarendalseweg 141 Arnhem"
51.980414,5.908132,"Piet Zoomers"," clothing_store store establishment","Bakkerstraat 62 Arnhem"
51.983444,5.903272,"Etos B.V."," store health establishment","Oude Stationsstraat 50 Arnhem"
51.981573,5.90434,"Nedgame"," store establishment","Rijnstraat 11 Arnhem"
51.991069,5.952084,"Intratuin Arnhem"," home_goods_store store establishment","Beverweerdlaan 1 Arnhem"
51.967369,5.907814,"Albert Heijn"," grocery_or_supermarket food store establishment","Drieslag 4 Arnhem"
51.983968,5.953433,"HEMA"," store establishment","Hanzestraat 223 Arnhem"
51.995776,5.970469,"Bruna"," book_store store establishment","Hoofdstraat 83 Velp"
51.947102,5.882481,"Autobedrijf Bochane Hyundai Arnhem"," car_repair car_dealer store establishment","Hazenkamp 15 Arnhem"
51.949813,5.87489,"Prénatal"," store establishment","Venlosingel 11 Arnhem"
51.981498,5.906941,"Vodafone Winkel Arnhem"," store establishment","Vijzelstraat 25 Arnhem"
51.981452,5.911771,"Reisboekhandel De Noorderzon"," book_store store establishment","Nieuwstad 35 Arnhem"
